sku_id,Label_Key_Group,Sum of cost,SKU Category,labels_key,labels_value
000B-47CC-2924,No Label Key,0.30422899999999997,Egress,"",""
0018-A5A0-9D6D,No Label Key,0.009640999999999997,Storage,"",""
0086-8707-C3B1,No Label Key,0,Egress,"",""
011E-3072-CBDB,No Label Key,1824.4918930000003,Compute,"",""
0128-6061-99F7,No Label Key,0,Egress,"",""
027D-B6C7-CCA2,No Label Key,0.44533100000000003,Data Analytics/Processing,"",""
02A2-9231-36A6,No Label Key,20.598829999999992,Compute,"",""
03A5-1B2A-3485,Google System Label,0,Egress,goog-gke-node,""
03A5-1B2A-3485,No Label Key,83.830472,Egress,"",""
0C3C-6B13-B1E8,No Label Key,0.000431,Egress,"",""
0CCB-7057-48DE,No Label Key,0,Egress,"",""
0D56-2F80-52A5,No Label Key,0,Ingress,"",""
0D5D-6E23-4250,No Label Key,717.7007870000002,Storage,"",""
0F79-08F1-0D8A,Google System Label,2.007359,Other Services,goog-anthos-cluster,""
0F79-08F1-0D8A,Google System Label,2.0804019999999994,Other Services,goog-gke-node,""
0F79-08F1-0D8A,Kubernetes General Key,0.0026520000000000003,Other Services,k8s-workload-type,""
1053-AC83-A223,No Label Key,0,Ingress,"",""
108E-9EAE-92D9,No Label Key,3.044938000000001,Egress,"",""
10C4-2156-01D6,Google System Label,0,Ingress,goog-gke-node,""
10C4-2156-01D6,No Label Key,0,Ingress,"",""
111D-5FAC-B7FF,No Label Key,599.83728,Management & Operations,"",""
11AD-2790-7C4B,Google System Label,0,Network - Other,goog-gke-node,""
11AD-2790-7C4B,No Label Key,0,Network - Other,"",""
11D6-3D11-8E77,Google System Label,0,Egress,goog-anthos-cluster,""
11D6-3D11-8E77,Google System Label,0,Egress,goog-gke-node,""
11D6-3D11-8E77,No Label Key,0,Egress,"",""
1211-928B-AF92,No Label Key,1552.0733100000002,Network - Other,"",""
123C-0EFC-B7C8,Google System Label,0,Ingress,goog-anthos-cluster,""
123C-0EFC-B7C8,Google System Label,0,Ingress,goog-gke-node,""
123C-0EFC-B7C8,No Label Key,0,Ingress,"",""
1481-64C8-6805,No Label Key,0,Network - Other,"",""
1486-7ACC-C40C,No Label Key,0.0055709999999999996,Egress,"",""
14F9-7705-2FD4,Google System Label,0,Egress,goog-anthos-cluster,""
14F9-7705-2FD4,Google System Label,0,Egress,goog-gke-node,""
14F9-7705-2FD4,No Label Key,0,Egress,"",""
15AE-8E35-C42B,No Label Key,1.757577,Network - Other,"",""
1642-E13D-F4C4,No Label Key,251.51272899999995,Storage,"",""
1713-49C6-A015,No Label Key,0.42356400000000005,Network - Other,"",""
1779-5CD6-D18B,No Label Key,0,Ingress,"",""
1A87-DEB9-C4BE,No Label Key,0.050877000000000006,Network - Other,"",""
1B9B-60EB-AF3D,No Label Key,0,Ingress,"",""
1CFF-8100-5F11,Google System Label,0,Ingress,goog-anthos-cluster,""
1CFF-8100-5F11,Google System Label,0,Ingress,goog-gke-node,""
1CFF-8100-5F11,No Label Key,0,Ingress,"",""
1D3E-3C54-0FA7,No Label Key,0,Egress,"",""
1E34-98AC-DBAD,No Label Key,0,Ingress,"",""
1E55-5CEB-2AB1,Google System Label,0,Ingress,goog-anthos-cluster,""
1E55-5CEB-2AB1,Google System Label,0,Ingress,goog-gke-node,""
1E55-5CEB-2AB1,No Label Key,0,Ingress,"",""
1F8B-71B0-3D1B,No Label Key,0,Egress,"",""
22EB-AAE8-FBCD,No Label Key,0.6380450000000002,Egress,"",""
2330-C6CA-C8BF,No Label Key,0,Egress,"",""
23F1-7159-60E3,No Label Key,0,Ingress,"",""
2583-7659-D94A,No Label Key,0,Egress,"",""
2856-91B1-406A,Google System Label,16.049718000000006,Compute,goog-anthos-cluster,""
2856-91B1-406A,Google System Label,182.755866,Compute,goog-gke-node,""
2856-91B1-406A,Kubernetes General Key,0.021548,Compute,k8s-workload-type,""
2A8D-245C-0E0B,No Label Key,0.097076,Network - Other,"",""
2DA5-55D3-E679,No Label Key,0,Management & Operations,"",""
2E27-4F75-95CD,Google System Label,19199.452878000004,Compute,goog-anthos-cluster,""
2E27-4F75-95CD,Google System Label,49695.62749600002,Compute,goog-gke-node,""
2E27-4F75-95CD,Kubernetes General Key,7.574785999999999,Compute,k8s-workload-type,""
2E27-4F75-95CD,No Label Key,410.3333259999999,Compute,"",""
2F71-7905-9E49,Google System Label,0,Ingress,goog-gke-node,""
2F99-3A90-373B,Google System Label,0,Ingress,goog-anthos-cluster,""
2F99-3A90-373B,Google System Label,0,Ingress,goog-gke-node,""
2F99-3A90-373B,No Label Key,0,Ingress,"",""
3091-E573-A86C,No Label Key,0,Ingress,"",""
3362-E469-6BEF,No Label Key,2.347192,Data Analytics/Processing,"",""
34CF-7D88-5D40,No Label Key,23.207524000000003,Storage,"",""
3606-CAF7-7ACF,No Label Key,0,Ingress,"",""
3712-109E-A7DC,No Label Key,0.148899,Ingress,"",""
378D-6896-1041,Google System Label,0,Egress,goog-anthos-cluster,""
378D-6896-1041,Google System Label,0.000002,Egress,goog-gke-node,""
378D-6896-1041,No Label Key,9.065471999999998,Egress,"",""
39F4-0112-6F39,Google System Label,1231.81805,Compute,goog-gke-node,""
39F4-0112-6F39,Kubernetes General Key,0,Compute,k8s-workload-type,""
3C59-C617-B717,No Label Key,0,Ingress,"",""
3C8A-99C5-F47B,No Label Key,0,Network - Other,"",""
3D41-4308-45C0,Google System Label,0,Licensing,goog-anthos-cluster,""
3D41-4308-45C0,Google System Label,0,Licensing,goog-gke-node,""
3EAB-48F3-A0D5,No Label Key,0,Data Analytics/Processing,"",""
3EEB-E1E6-C521,Google System Label,14.845409,Storage,goog-gke-node,""
3EEB-E1E6-C521,Google System Label,14.845409,Storage,goog-gke-volume,""
3F66-E308-4A92,No Label Key,0,Egress,"",""
40D6-DDD1-E008,No Label Key,0.00036600000000000006,Egress,"",""
4120-E8FB-841B,No Label Key,0,Egress,"",""
427E-B4F2-B5CF,Google System Label,0,Ingress,goog-anthos-cluster,""
427E-B4F2-B5CF,Google System Label,0,Ingress,goog-gke-node,""
427E-B4F2-B5CF,No Label Key,0,Ingress,"",""
4307-EB87-2AA6,No Label Key,0.000016,Egress,"",""
460A-7826-0471,No Label Key,0,Network - Other,"",""
4762-E550-B5D2,No Label Key,0.394313,Network - Other,"",""
4856-B847-F1EB,No Label Key,287.49513899999994,Compute,"",""
489B-BB53-0D77,Google System Label,0,Storage,goog-anthos-cluster,""
489B-BB53-0D77,Google System Label,0,Storage,goog-gke-node,""
489B-BB53-0D77,No Label Key,0,Storage,"",""
4AA0-9497-B351,Google System Label,697.4144259999998,Compute,goog-gke-node,""
4AA0-9497-B351,Kubernetes General Key,0.09149800000000001,Compute,k8s-workload-type,""
4B13-E64F-4A2B,No Label Key,5.975385000000001,Network - Other,"",""
4B1C-B95E-87F5,No Label Key,1.115963,Egress,"",""
4B24-F362-2296,No Label Key,0,Ingress,"",""
4B89-6413-74D9,No Label Key,0,Security,"",""
4BEF-C75E-0C60,Google System Label,0,Network - Other,goog-anthos-cluster,""
4BEF-C75E-0C60,Google System Label,0,Network - Other,goog-gke-node,""
4BEF-C75E-0C60,No Label Key,0,Network - Other,"",""
4CCF-185C-4E98,No Label Key,0.004721,Egress,"",""
4DAA-E9DA-86DE,Google System Label,0,Ingress,goog-gke-node,""
4DBF-185F-A415,No Label Key,2.1893650000000004,Management & Operations,"",""
4EA8-4296-E5E2,Google System Label,0.07491899999999999,Egress,goog-anthos-cluster,""
4EA8-4296-E5E2,Google System Label,0.12430099999999998,Egress,goog-gke-node,""
4EA8-4296-E5E2,No Label Key,0.000386,Egress,"",""
